Discipline,Type,Year,EFTSL,Change_Percent
Natural and Physical Sciences,Commencing,2024,64707,6.9
Information Technology,Commencing,2024,47449,8.5
Engineering and Related Technologies,Commencing,2024,25270,9.2
Architecture and Building,Commencing,2024,8800,6.3
Agriculture Environmental and Related Studies,Commencing,2024,5551,5.7
Health,Commencing,2024,66753,8.2
Education,Commencing,2024,38343,25.1
Management and Commerce,Commencing,2024,83585,5.2
Society and Culture,Commencing,2024,94475,4.5
Creative Arts,Commencing,2024,33093,1.4
Food Hospitality and Personal Services,Commencing,2024,196,38.0
Mixed Field Programmes,Commencing,2024,3193,13.3
Natural and Physical Sciences,All Students,2024,138198,5.8
Information Technology,All Students,2024,112854,18.9
Engineering and Related Technologies,All Students,2024,80652,10.0
Architecture and Building,All Students,2024,24538,5.2
Agriculture Environmental and Related Studies,All Students,2024,15088,7.5
Health,All Students,2024,189769,6.8
Education,All Students,2024,91383,13.7
Management and Commerce,All Students,2024,204087,9.8
Society and Culture,All Students,2024,241321,3.5
Creative Arts,All Students,2024,81093,3.2
Food Hospitality and Personal Services,All Students,2024,673,37.9
Mixed Field Programmes,All Students,2024,5721,21.5